city_ascii,state_id,state_name,county_name,population,density,timezone
Lafayette,CO,Colorado,Boulder,99645,1257,America/Denver
Wichita Falls,TX,Texas,Wichita,99557,561,America/Chicago
Rio Rancho,NM,New Mexico,Sandoval,99178,370,America/Denver
South Fulton,GA,Georgia,Fulton,99155,451,America/New_York
Beaverton,OR,Oregon,Washington,99037,1952,America/Los_Angeles
Lawrence,KS,Kansas,Douglas,98648,1110,America/Chicago
Bismarck,ND,North Dakota,Burleigh,98345,827,America/Chicago
Orem,UT,Utah,Utah,97828,2044,America/Denver
Middletown,OH,Ohio,Butler,97730,720,America/New_York
San Marcos,CA,California,San Diego,96664,1532,America/Los_Angeles
Sandy,UT,Utah,Salt Lake,96380,1544,America/Denver
Federal Way,WA,Washington,King,96289,1667,America/Los_Angeles
Mandeville,LA,Louisiana,Saint Tammany,95968,676,America/Chicago
Hesperia,CA,California,San Bernardino,95750,508,America/Los_Angeles
Brockton,MA,Massachusetts,Plymouth,95708,1732,America/New_York
Compton,CA,California,Los Angeles,95605,3680,America/Los_Angeles
Fishers,IN,Indiana,Hamilton,95310,1037,America/Indiana/Indianapolis
Sunrise,FL,Florida,Broward,95166,2270,America/New_York
Bowling Green,KY,Kentucky,Warren,95135,690,America/Chicago
Roswell,GA,Georgia,Fulton,94763,898,America/New_York
Menifee,CA,California,Riverside,94756,787,America/Los_Angeles
Plantation,FL,Florida,Broward,94580,1685,America/New_York
Dover,NH,New Hampshire,Strafford,94563,464,America/New_York
Quincy,MA,Massachusetts,Norfolk,94470,2200,America/New_York
Portsmouth,VA,Virginia,Portsmouth,94398,1094,America/New_York
Chino,CA,California,San Bernardino,94371,1229,America/Los_Angeles
Lynn,MA,Massachusetts,Essex,94299,3388,America/New_York
Edmond,OK,Oklahoma,Oklahoma,94054,428,America/Chicago
Hanford,CA,California,Kings,94028,1280,America/Los_Angeles
Dearborn,MI,Michigan,Wayne,93932,1496,America/Detroit
Livonia,MI,Michigan,Wayne,93665,1013,America/Detroit
South Gate,CA,California,Los Angeles,93444,4985,America/Los_Angeles
Vineland,NJ,New Jersey,Cumberland,93239,335,America/New_York
San Tan Valley,AZ,Arizona,Pinal,93230,981,America/Phoenix
Florence,SC,South Carolina,Florence,93131,657,America/New_York
Portsmouth,NH,New Hampshire,Rockingham,93069,540,America/New_York
Slidell,LA,Louisiana,Saint Tammany,93040,695,America/Chicago
Kirkland,WA,Washington,King,93010,2016,America/Los_Angeles
Missoula,MT,Montana,Missoula,92895,845,America/Denver
Auburn,AL,Alabama,Lee,92777,425,America/Chicago
Rapid City,SD,South Dakota,Pennington,92664,546,America/Denver
Lee's Summit,MO,Missouri,Jackson,92522,601,America/Chicago
Terre Haute,IN,Indiana,Vigo,92490,677,America/Indiana/Indianapolis
Suffolk,VA,Virginia,Suffolk,92108,89,America/New_York
Blacksburg,VA,Virginia,Montgomery,91888,865,America/New_York
Mount Pleasant,SC,South Carolina,Charleston,91684,717,America/New_York
Carson,CA,California,Los Angeles,91394,1883,America/Los_Angeles
Riverview,FL,Florida,Hillsborough,91190,761,America/New_York
Conroe,TX,Texas,Montgomery,91079,488,America/Chicago
Livermore,CA,California,Alameda,90923,1288,America/Los_Angeles
Germantown,MD,Maryland,Montgomery,90844,2059,America/New_York
Lawton,OK,Oklahoma,Comanche,90712,441,America/Chicago
Westminster,CA,California,Orange,90643,3486,America/Los_Angeles
Santa Monica,CA,California,Los Angeles,90401,4147,America/Los_Angeles
New Braunfels,TX,Texas,Comal,90209,770,America/Chicago
Fall River,MA,Massachusetts,Bristol,89541,1044,America/New_York
Albany,GA,Georgia,Dougherty,89217,505,America/New_York
Miami Beach,FL,Florida,Miami-Dade,88885,4461,America/New_York
Norwalk,CT,Connecticut,Fairfield,88816,1498,America/New_York
San Leandro,CA,California,Alameda,88815,2570,America/Los_Angeles
O'Fallon,MO,Missouri,Saint Charles,88673,1149,America/Chicago
Alafaya,FL,Florida,Orange,88542,1124,America/New_York
Newton,MA,Massachusetts,Middlesex,88414,1914,America/New_York
Muncie,IN,Indiana,Delaware,87879,958,America/Indiana/Indianapolis
Citrus Heights,CA,California,Sacramento,87796,2381,America/Los_Angeles
State College,PA,Pennsylvania,Centre,87723,3572,America/New_York
Decatur,IL,Illinois,Macon,87236,645,America/Chicago
Jackson,MI,Michigan,Jackson,87110,1153,America/Detroit
Fort Myers,FL,Florida,Lee,87103,844,America/New_York
Goodyear,AZ,Arizona,Maricopa,86840,175,America/Phoenix
Dalton,GA,Georgia,Whitfield,86628,632,America/New_York
Bryan,TX,Texas,Brazos,86276,726,America/Chicago
Waukegan,IL,Illinois,Lake,86075,1370,America/Chicago
Hawthorne,CA,California,Los Angeles,86068,5463,America/Los_Angeles
Anderson,IN,Indiana,Madison,85992,508,America/Indiana/Indianapolis
Redwood City,CA,California,San Mateo,85925,1721,America/Los_Angeles
Hoover,AL,Alabama,Jefferson,85768,691,America/Chicago
Town 'n' Country,FL,Florida,Hillsborough,85620,1496,America/New_York
Lake Forest,CA,California,Orange,85531,1985,America/Los_Angeles
Napa,CA,California,Napa,85239,1679,America/Los_Angeles
Whittier,CA,California,Los Angeles,85098,2242,America/Los_Angeles
Clifton,NJ,New Jersey,Passaic,85052,2913,America/New_York
Largo,FL,Florida,Pinellas,84948,1773,America/New_York
Bloomington,MN,Minnesota,Hennepin,84943,945,America/Chicago
Johns Creek,GA,Georgia,Fulton,84579,1059,America/New_York
Newport Beach,CA,California,Orange,84534,1370,America/Los_Angeles
Mission,TX,Texas,Hidalgo,84331,916,America/Chicago
Milpitas,CA,California,Santa Clara,84196,2381,America/Los_Angeles
Troy,MI,Michigan,Oakland,84092,970,America/Detroit
Madera,CA,California,Madera,84086,1557,America/Los_Angeles
Joplin,MO,Missouri,Jasper,84048,515,America/Chicago
Chino Hills,CA,California,San Bernardino,83853,724,America/Los_Angeles
Alhambra,CA,California,Los Angeles,83750,4237,America/Los_Angeles
Franklin,TN,Tennessee,Williamson,83097,771,America/Chicago
Melbourne,FL,Florida,Brevard,83029,727,America/New_York
Port Huron,MI,Michigan,Saint Clair,82970,1369,America/Detroit
Springfield,OH,Ohio,Clark,82820,883,America/New_York
Mountain View,CA,California,Santa Clara,82739,2664,America/Los_Angeles
Zephyrhills,FL,Florida,Pasco,82476,670,America/New_York
Saint Augustine,FL,Florida,Saint Johns,82180,629,America/New_York
Flagstaff,AZ,Arizona,Coconino,81974,438,America/Phoenix
Buena Park,CA,California,Orange,81788,3002,America/Los_Angeles
Pleasanton,CA,California,Alameda,81777,1307,America/Los_Angeles
Westland,MI,Michigan,Wayne,81511,1540,America/Detroit
Auburn,WA,Washington,King,81464,1063,America/Los_Angeles
Cranston,RI,Rhode Island,Providence,81456,1109,America/New_York
Somerville,MA,Massachusetts,Middlesex,81360,7619,America/New_York
Folsom,CA,California,Sacramento,81328,1126,America/Los_Angeles
Springdale,AR,Arkansas,Washington,81125,668,America/Chicago
Deerfield Beach,FL,Florida,Broward,81066,2093,America/New_York
Warwick,RI,Rhode Island,Kent,81004,893,America/New_York
Cicero,IL,Illinois,Cook,80796,5318,America/Chicago
Farmington Hills,MI,Michigan,Oakland,80612,935,America/Detroit
Newark,OH,Ohio,Licking,80451,930,America/New_York
Williamsburg,VA,Virginia,Williamsburg,80441,645,America/New_York
Brooklyn Park,MN,Minnesota,Hennepin,80389,1190,America/Chicago
